ParentSKU,Site_id,Year,Month,Category_id,Qty,Price,Net_sales,Discount,ATC,MRP,Pack_size,Pack_unit_id,Zone,Master_category,Size,Rank
F0033,DEHRADUN,2019,12,0,1287.0,6702.8,102662.0,0,102662.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2020,1,0,1287.0,6702.8,83116.0,0,83116.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2020,2,0,1080.0,6702.8,44218.0,0,44218.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2017,4,0,1287.0,6702.8,148929.6,10,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2017,5,0,1287.0,6702.8,148929.6,10,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2017,6,0,1287.0,6702.8,148929.6,10,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2017,7,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2017,8,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2017,9,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2017,10,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2017,11,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2017,12,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,1,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,2,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,3,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,4,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,5,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,6,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,7,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,8,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,9,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,10,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,11,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2018,12,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,1,0,702.0,6702.8,30794.0,0,30794.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,2,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,3,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,4,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,5,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,6,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,7,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,8,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,9,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,10,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,11,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2019,12,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2020,1,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DELMDK,2020,2,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,GHAZIABAD,2017,4,0,1287.0,6702.8,148929.6,6,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,GHAZIABAD,2017,5,0,1287.0,6702.8,148929.6,27,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,GHAZIABAD,2017,6,0,1287.0,6702.8,148929.6,4,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,GHAZIABAD,2017,7,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
